addon	fleet	id	ingroup	inscale	location	magvar	mood	ping	speed	userName
2	none	user-0	false	false	{"x":-70.653,"y":-33.444}	0	50	1	0	guest
0	none	user-1	false	false	{"x":-70.6615,"y":-33.425}	0	1	1	10.41844651548251	guest
0	none	user-2	false	false	{"x":-70.69200000000001,"y":-33.437}	0	1	1	0	guest
0	none	user-3	false	false	{"x":-70.706,"y":-33.4575}	0	1	1	0	guest
0	none	user-4	false	false	{"x":-70.624,"y":-33.4665}	0	1	1	0.2586186930678205	guest
0	none	user-5	false	false	{"x":-70.6225,"y":-33.477000000000004}	0	1	1	12.08899970833141	guest
2	none	user-6	false	false	{"x":-70.6525,"y":-33.47}	0	1	1	7.398161700421859	guest
0	none	user-7	false	false	{"x":-70.6705,"y":-33.4265}	0	1	1	23.413161529340236	guest
0	none	user-8	false	false	{"x":-70.6425,"y":-33.463}	0	1	1	12.643569542641174	guest
0	none	user-9	false	false	{"x":-70.649,"y":-33.4515}	0	1	1	12.222189538068159	guest
0	none	user-10	false	false	{"x":-70.6905,"y":-33.4775}	0	1	1	0	guest
1	none	user-11	false	false	{"x":-70.6235,"y":-33.427}	0	9	1	24.283817295959317	guest
0	none	user-12	false	false	{"x":-70.6795,"y":-33.478500000000004}	0	1	1	0	guest
0	none	user-13	false	false	{"x":-70.6435,"y":-33.436}	0	1	1	0	guest
0	none	user-14	false	false	{"x":-70.662,"y":-33.4435}	0	1	1	4.474290411637542	guest
0	none	user-15	false	false	{"x":-70.633,"y":-33.4435}	0	1	1	5.115564912869155	guest
1	none	user-16	false	false	{"x":-70.649,"y":-33.4635}	0	1	1	0.9842221890087742	guest
0	none	user-17	false	false	{"x":-70.65350000000001,"y":-33.433}	0	1	1	9.743316763696313	guest
0	none	user-18	false	false	{"x":-70.654,"y":-33.439}	0	1	1	8.013007916355628	guest
0	none	user-19	false	false	{"x":-70.6285,"y":-33.435}	0	1	1	0	guest
